#	Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIRMASS
63	KELT21Ab-0063I_calibrated.fit	2457624.644967	0.294958	0.000677	5.682766
64	KELT21Ab-0064I_calibrated.fit	2457624.646738	0.294545	0.000677	5.983690
65	KELT21Ab-0065I_calibrated.fit	2457624.648509	0.295499	0.000678	6.317564
66	KELT21Ab-0066I_calibrated.fit	2457624.650280	0.295000	0.000679	6.689808
67	KELT21Ab-0067I_calibrated.fit	2457624.652062	0.295268	0.000678	7.109934
68	KELT21Ab-0068I_calibrated.fit	2457624.653833	0.295283	0.000677	7.580706
69	KELT21Ab-0069I_calibrated.fit	2457624.655604	0.294157	0.000674	8.114913
70	KELT21Ab-0070I_calibrated.fit	2457624.657375	0.294257	0.000675	8.725530
71	KELT21Ab-0071I_calibrated.fit	2457624.659145	0.295189	0.000677	9.429486
72	KELT21Ab-0072I_calibrated.fit	2457624.660916	0.294167	0.000674	10.249930
73	KELT21Ab-0073I_calibrated.fit	2457624.662687	0.294557	0.000676	11.574374
74	KELT21Ab-0074I_calibrated.fit	2457624.664458	0.294795	0.000692	13.397726
75	KELT21Ab-0075I_calibrated.fit	2457624.666229	0.294257	0.000691	15.814559
76	KELT21Ab-0076I_calibrated.fit	2457624.667999	0.295094	0.000682	19.170450
77	KELT21Ab-0077I_calibrated.fit	2457624.669770	0.294639	0.000676	24.143899
78	KELT21Ab-0078I_calibrated.fit	2457624.671553	0.294716	0.000677	32.344572
79	KELT21Ab-0079I_calibrated.fit	2457624.673323	0.294934	0.000677	48.113651
80	KELT21Ab-0080I_calibrated.fit	2457624.675094	0.293936	0.000676	91.418005
81	KELT21Ab-0081I_calibrated.fit	2457624.676865	0.294259	0.000677	729.862511
82	KELT21Ab-0082I_calibrated.fit	2457624.678636	0.293698	0.000676	-1.000000
83	KELT21Ab-0083I_calibrated.fit	2457624.680407	0.294149	0.000678	-1.000000
84	KELT21Ab-0084I_calibrated.fit	2457624.682177	0.294785	0.000679	-1.000000
85	KELT21Ab-0085I_calibrated.fit	2457624.683948	0.294458	0.000678	-1.000000
86	KELT21Ab-0086I_calibrated.fit	2457624.685719	0.294239	0.000678	-1.000000
87	KELT21Ab-0087I_calibrated.fit	2457624.687490	0.295318	0.000682	-1.000000
88	KELT21Ab-0088I_calibrated.fit	2457624.689261	0.295069	0.000679	-1.000000
89	KELT21Ab-0089I_calibrated.fit	2457624.691032	0.295192	0.000679	-1.000000
90	KELT21Ab-0090I_calibrated.fit	2457624.692802	0.294542	0.000678	-1.000000
91	KELT21Ab-0091I_calibrated.fit	2457624.694585	0.295402	0.000678	-1.000000
92	KELT21Ab-0092I_calibrated.fit	2457624.696356	0.294114	0.000676	-1.000000
93	KELT21Ab-0093I_calibrated.fit	2457624.698126	0.293761	0.000678	-1.000000
94	KELT21Ab-0094I_calibrated.fit	2457624.699897	0.293976	0.000677	-1.000000
95	KELT21Ab-0095I_calibrated.fit	2457624.701668	0.295228	0.000679	-1.000000
96	KELT21Ab-0096I_calibrated.fit	2457624.703439	0.294579	0.000678	-1.000000
97	KELT21Ab-0097I_calibrated.fit	2457624.705210	0.294160	0.000678	-1.000000
98	KELT21Ab-0098I_calibrated.fit	2457624.706992	0.294618	0.000679	-1.000000
99	KELT21Ab-0099I_calibrated.fit	2457624.708763	0.294092	0.000678	-1.000000
100	KELT21Ab-0100I_calibrated.fit	2457624.710534	0.294281	0.000680	-1.000000
101	KELT21Ab-0101I_calibrated.fit	2457624.712304	0.294527	0.000680	-1.000000
102	KELT21Ab-0102I_calibrated.fit	2457624.714064	0.294579	0.000681	-1.000000
103	KELT21Ab-0103I_calibrated.fit	2457624.715834	0.294562	0.000681	-1.000000
104	KELT21Ab-0104I_calibrated.fit	2457624.717605	0.294352	0.000680	-1.000000
105	KELT21Ab-0105I_calibrated.fit	2457624.719376	0.295523	0.000682	-1.000000
106	KELT21Ab-0106I_calibrated.fit	2457624.721158	0.294131	0.000682	-1.000000
107	KELT21Ab-0107I_calibrated.fit	2457624.722929	0.295271	0.000685	-1.000000
108	KELT21Ab-0108I_calibrated.fit	2457624.724700	0.294197	0.000682	-1.000000
109	KELT21Ab-0109I_calibrated.fit	2457624.726471	0.294407	0.000683	-1.000000
110	KELT21Ab-0110I_calibrated.fit	2457624.728242	0.294792	0.000684	-1.000000
111	KELT21Ab-0111I_calibrated.fit	2457624.730012	0.294193	0.000684	-1.000000
112	KELT21Ab-0112I_calibrated.fit	2457624.731783	0.295009	0.000688	-1.000000
113	KELT21Ab-0113I_calibrated.fit	2457624.733554	0.294600	0.000687	-1.000000
114	KELT21Ab-0114I_calibrated.fit	2457624.735325	0.294536	0.000688	-1.000000
115	KELT21Ab-0115I_calibrated.fit	2457624.737096	0.294133	0.000686	-1.000000
116	KELT21Ab-0116I_calibrated.fit	2457624.738866	0.294920	0.000686	-1.000000
117	KELT21Ab-0117I_calibrated.fit	2457624.740637	0.295103	0.000687	-1.000000
118	KELT21Ab-0118I_calibrated.fit	2457624.742408	0.295933	0.000689	-1.000000
119	KELT21Ab-0119I_calibrated.fit	2457624.744179	0.294723	0.000688	-1.000000
120	KELT21Ab-0120I_calibrated.fit	2457624.745950	0.294869	0.000688	-1.000000
121	KELT21Ab-0121I_calibrated.fit	2457624.747721	0.294141	0.000687	-1.000000
122	KELT21Ab-0122I_calibrated.fit	2457624.749491	0.294857	0.000691	-1.000000
123	KELT21Ab-0123I_calibrated.fit	2457624.751262	0.295217	0.000694	-1.000000
124	KELT21Ab-0124I_calibrated.fit	2457624.753033	0.294236	0.000695	-1.000000
125	KELT21Ab-0125I_calibrated.fit	2457624.754804	0.295580	0.000697	-1.000000
126	KELT21Ab-0126I_calibrated.fit	2457624.756575	0.294849	0.000694	-1.000000
127	KELT21Ab-0127I_calibrated.fit	2457624.758345	0.294127	0.000691	-1.000000
128	KELT21Ab-0128I_calibrated.fit	2457624.760116	0.295030	0.000695	-1.000000
129	KELT21Ab-0129I_calibrated.fit	2457624.761887	0.294621	0.000695	-1.000000
130	KELT21Ab-0130I_calibrated.fit	2457624.763646	0.294603	0.000695	-1.000000
131	KELT21Ab-0131I_calibrated.fit	2457624.765429	0.295589	0.000697	-1.000000
132	KELT21Ab-0132I_calibrated.fit	2457624.767188	0.296327	0.000701	-1.000000
133	KELT21Ab-0133I_calibrated.fit	2457624.768959	0.296433	0.000701	-1.000000
134	KELT21Ab-0134I_calibrated.fit	2457624.770729	0.295563	0.000697	-1.000000
135	KELT21Ab-0135I_calibrated.fit	2457624.772500	0.296794	0.000700	-1.000000
136	KELT21Ab-0136I_calibrated.fit	2457624.774271	0.297500	0.000702	-1.000000
137	KELT21Ab-0137I_calibrated.fit	2457624.776042	0.296494	0.000700	-1.000000
138	KELT21Ab-0138I_calibrated.fit	2457624.777813	0.296978	0.000703	-1.000000
139	KELT21Ab-0139I_calibrated.fit	2457624.779595	0.297983	0.000704	-1.000000
140	KELT21Ab-0140I_calibrated.fit	2457624.781354	0.299098	0.000709	-1.000000
141	KELT21Ab-0141I_calibrated.fit	2457624.783125	0.298174	0.000708	-1.000000
